Sexo,Comunidad autónoma/provincia,Ciclo formativo,Total,nivel_ciclo
AMBOS SEXOS,Granada,"24 TEXTIL, CONFECCIÓN Y PIEL",0.0,MEDIO
AMBOS SEXOS,Granada,Calzado y complementos de moda,0.0,MEDIO
AMBOS SEXOS,Granada,Confección y moda,0.0,MEDIO
AMBOS SEXOS,Granada,Fabricación y ennoblecimiento de productos textiles,0.0,MEDIO
AMBOS SEXOS,Granada,25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,100.0,MEDIO
AMBOS SEXOS,Granada,Carrocería,16.0,MEDIO
AMBOS SEXOS,Granada,Conducción de vehículos de transporte por carretera,0.0,MEDIO
AMBOS SEXOS,Granada,Electromecánica de maquinaria,0.0,MEDIO
AMBOS SEXOS,Granada,Electromecánica de vehículos automóviles,84.0,MEDIO
AMBOS SEXOS,Granada,Mantenimiento de material rodante ferroviario,0.0,MEDIO
AMBOS SEXOS,Granada,Mantenimiento de embarcaciones de recreo,0.0,MEDIO
AMBOS SEXOS,Granada,Mantenimiento de estructuras de madera y mobiliario de embarcaciones,0.0,MEDIO
AMBOS SEXOS,Granada,Montaje de estructuras e instalación de sistemas aeronáuticos,0.0,MEDIO
AMBOS SEXOS,Granada,26 VIDRIO Y CERÁMICA,0.0,MEDIO
AMBOS SEXOS,Granada,Fabricación de productos cerámicos,0.0,MEDIO
AMBOS SEXOS,Granada,01 ACTIVIDADES FÍSICAS Y DEPORTIVAS,174.0,MEDIO
AMBOS SEXOS,Granada,Guía en el medio natural y de tiempo libre,160.0,MEDIO
AMBOS SEXOS,Granada,Actividades ecuestres,14.0,MEDIO
AMBOS SEXOS,Granada,02 ADMINISTRACIÓN Y GESTIÓN,483.0,MEDIO
AMBOS SEXOS,Granada,Gestión administrativa,483.0,MEDIO
AMBOS SEXOS,Granada,Administración y gestión (n.d.),0.0,MEDIO
AMBOS SEXOS,Granada,03 AGRARIA,57.0,MEDIO
AMBOS SEXOS,Granada,Aprovechamiento y conservación del medio natural,16.0,MEDIO
AMBOS SEXOS,Granada,Jardinería y floristería,25.0,MEDIO
AMBOS SEXOS,Granada,Producción agroecológica,16.0,MEDIO
AMBOS SEXOS,Granada,Producción agropecuaria,0.0,MEDIO
AMBOS SEXOS,Granada,04 ARTES GRÁFICAS,18.0,MEDIO
AMBOS SEXOS,Granada,Impresión gráfica,0.0,MEDIO
AMBOS SEXOS,Granada,Postimpresión y acabados gráficos,0.0,MEDIO
AMBOS SEXOS,Granada,Preimpresión digital,18.0,MEDIO
AMBOS SEXOS,Granada,06 COMERCIO Y MARKETING,329.0,MEDIO
AMBOS SEXOS,Granada,Actividades comerciales,329.0,MEDIO
AMBOS SEXOS,Granada,Comercialización de productos alimentarios,0.0,MEDIO
AMBOS SEXOS,Granada,07 EDIFICACIÓN Y OBRA CIVIL,0.0,MEDIO
AMBOS SEXOS,Granada,Construcción,0.0,MEDIO
AMBOS SEXOS,Granada,"Obras de interior, decoración y rehabilitación",0.0,MEDIO
AMBOS SEXOS,Granada,08 ELECTRICIDAD Y ELECTRÓNICA,287.0,MEDIO
AMBOS SEXOS,Granada,Instalaciones de telecomunicaciones,98.0,MEDIO
AMBOS SEXOS,Granada,Instalaciones eléctricas y automáticas,189.0,MEDIO
AMBOS SEXOS,Granada,09 ENERGÍA Y AGUA,0.0,MEDIO
AMBOS SEXOS,Granada,Redes y estaciones de tratamiento de agua,0.0,MEDIO
AMBOS SEXOS,Huelva,10 FABRICACIÓN MECÁNICA,257.0,MEDIO
AMBOS SEXOS,Huelva,Conformado por moldeo de metales y polímeros,0.0,MEDIO
AMBOS SEXOS,Huelva,Joyería (LOGSE),0.0,MEDIO
AMBOS SEXOS,Huelva,Mecanizado,82.0,MEDIO
AMBOS SEXOS,Huelva,Soldadura y calderería,175.0,MEDIO
AMBOS SEXOS,Huelva,11 HOSTELERÍA Y TURISMO,161.0,MEDIO
AMBOS SEXOS,Huelva,Cocina y gastronomía,127.0,MEDIO
AMBOS SEXOS,Huelva,Servicios de restauración,34.0,MEDIO
AMBOS SEXOS,Huelva,12 IMAGEN PERSONAL,192.0,MEDIO
AMBOS SEXOS,Huelva,Estética y belleza,97.0,MEDIO
AMBOS SEXOS,Huelva,Peluquería y cosmética capilar,95.0,MEDIO
AMBOS SEXOS,Huelva,13 IMAGEN Y SONIDO,0.0,MEDIO
AMBOS SEXOS,Huelva,"Vídeo, disc-jockey y sonido",0.0,MEDIO
AMBOS SEXOS,Huelva,14 INDUSTRIAS ALIMENTARIAS,42.0,MEDIO
AMBOS SEXOS,Huelva,Aceites de oliva y vinos,9.0,MEDIO
AMBOS SEXOS,Huelva,Elaboración de productos alimenticios,9.0,MEDIO
AMBOS SEXOS,Huelva,"Panadería, repostería y confitería",24.0,MEDIO
AMBOS SEXOS,Huelva,15 INDUSTRIAS EXTRACTIVAS,0.0,MEDIO
AMBOS SEXOS,Huelva,Excavaciones y sondeos,0.0,MEDIO
AMBOS SEXOS,Huelva,Piedra natural,0.0,MEDIO
AMBOS SEXOS,Huelva,16 INFORMÁTICA Y COMUNICACIONES,264.0,MEDIO
AMBOS SEXOS,Huelva,Sistemas microinformáticos y redes,264.0,MEDIO
AMBOS SEXOS,Huelva,17 INSTALACIÓN Y MANTENIMIENTO,93.0,MEDIO
AMBOS SEXOS,Huelva,Instalaciones de producción de calor,8.0,MEDIO
AMBOS SEXOS,Huelva,Instalaciones frigoríficas y de climatización,77.0,MEDIO
AMBOS SEXOS,Huelva,Mantenimiento electromecánico,8.0,MEDIO
AMBOS SEXOS,Huelva,"18 MADERA, MUEBLE Y CORCHO",25.0,MEDIO
AMBOS SEXOS,Huelva,Carpintería y mueble,0.0,MEDIO
AMBOS SEXOS,Huelva,Instalación y amueblamiento,25.0,MEDIO
AMBOS SEXOS,Huelva,19 MARÍTIMO-PESQUERA,49.0,MEDIO
